Merk;Prijs;Aantal deuren;Aantal stoelen;Adverteerder;Bouwjaar;Bovag garantie;Brandstof;Carrosserie;Kenteken;Kilometerstand;Kleur;Model;Motorinhoud;NAP Nationale Auto Pas;Opties;Transmissie;Vermogen
['Ferrari'];[218500.0];['2'];['2'];['Bedrijf'];['2013'];['Nee'];['Benzine'];['Cabriolet'];['2-KJH-83'];['47202'];['Zwart'];['458'];['4497'];['Ja'];['ABS, Airbags, Bekleding leder, Boordcomputer, Centrale vergrendeling, Airconditioning, Elektrische ramen, Lichtmetalen velgen, Metallic lak, Navigatiesysteem, Open dak, Parkeersensor, Sportstoelen, Stoelverwarming, Climate control'];['Automaat'];['566']
['Ferrari'];[0.0];['2'];['4'];['Bedrijf'];['2009'];['Nee'];['Benzine'];['Cabriolet'];['JV-780-J'];['113724'];['Zwart'];['California'];['4297'];['Nee'];['Boordcomputer, Centrale vergrendeling, Airconditioning, Elektrische ramen, Lichtmetalen velgen, Navigatiesysteem, Open dak, Parkeersensor, Sportstoelen, Cruise Control, Climate control'];['Automaat'];['460']
['Ferrari'];[134500.0];['2'];['4'];['Bedrijf'];['2010'];['Nee'];['Benzine'];['Cabriolet'];['RS-681-F'];['34937'];['Zwart'];['California'];['4297'];['Nee'];['Bekleding leder, Airconditioning, Lichtmetalen velgen, Open dak, Climate control'];['Automaat'];['466']
['Ferrari'];[139950.0];['2'];['2'];['Bedrijf'];['2010'];['Nee'];['Benzine'];['Coupé'];['KD-744-P'];['26980'];['Rood'];['599'];['5999'];['Nee'];['Airbags, Bekleding leder, Airconditioning, Lichtmetalen velgen, Metallic lak, Parkeersensor, Sportstoelen, Climate control'];['Automaat'];['620']
['Ferrari'];[99500.0];['2'];['2'];['Bedrijf'];['2006'];['Nee'];['Benzine'];['Cabriolet'];;['57865'];['Zwart'];['430'];['4308'];['Nee'];['ABS, Airbags, Bekleding leder, Boordcomputer, Centrale vergrendeling, Airconditioning, Elektrische ramen, Lichtmetalen velgen, Navigatiesysteem, Open dak, Climate control'];['Automaat'];['485']
['Ferrari'];[79450.0];['2'];['2'];['Bedrijf'];['1998'];['Nee'];['Benzine'];['Cabriolet'];['WMC-442'];['65778'];['Rood'];['Overige modellen'];['3496'];['Nee'];['ABS, Airbags, Bekleding leder, Centrale vergrendeling, Airconditioning, Elektrische ramen, Lichtmetalen velgen, Open dak, Sportstoelen'];;['381']
['Ferrari'];[69950.0];['2'];['2'];['Bedrijf'];['2000'];['Nee'];['Benzine'];['Coupé'];['TP-987-L'];['79980'];['Rood'];['360'];['3586'];['Nee'];['ABS, Airbags, Bekleding leder, Centrale vergrendeling, Airconditioning, Elektrische ramen, Lichtmetalen velgen'];['Handgeschakeld'];['400']
['Ferrari'];[239500.0];['2'];['2'];['Bedrijf'];['2014'];['Nee'];['Benzine'];['Coupé'];;['11712'];['Zilver of Grijs'];['F12berlinetta'];['6262'];['Nee'];['Metallic lak'];['Automaat'];['740']
['Ferrari'];[82500.0];['2'];['2'];['Bedrijf'];['1998'];['Nee'];['Benzine'];['Coupé'];['HR-715-X'];['72259'];['Rood'];['F355'];['3496'];['Nee'];['Bekleding leder, Airconditioning, Lichtmetalen velgen, Sportstoelen'];['Handgeschakeld'];['381']
['Ferrari'];[149500.0];['2'];['4'];['Bedrijf'];['2014'];['Nee'];['Benzine'];['Cabriolet'];['7-TBV-85'];['30033'];['Zwart'];['California'];['4297'];['Nee'];['Bekleding leder, Airconditioning, Lichtmetalen velgen, Metallic lak, Navigatiesysteem, Open dak, Climate control'];['Automaat'];['489']
['Ferrari'];[319500.0];['2'];['2'];['Bedrijf'];['2018'];['Nee'];['Benzine'];['Coupé'];['TL-614-R'];['621'];['Rood'];['Overige modellen'];['3902'];['Ja'];['ABS, Airbags, Bekleding leder, Airconditioning, Elektrische ramen, Electronic Stability Program (ESP), Lichtmetalen velgen, Navigatiesysteem, Sportstoelen, Climate control'];['Automaat'];['672']
['Ferrari'];[109000.0];['2'];['4'];['Bedrijf'];['2012'];['Nee'];['Benzine'];['Cabriolet'];['47-TDJ-6'];['59218'];['Wit'];['California'];['4297'];['Nee'];['Bekleding leder, Airconditioning, Lichtmetalen velgen, Navigatiesysteem, Open dak, Climate control'];['Automaat'];['460']
['Ferrari'];[259900.0];['2'];['2'];['Bedrijf'];['2017'];['Nee'];['Benzine'];['Cabriolet'];;['94'];['Rood'];['Overige modellen'];['3902'];['Nee'];['Bekleding leder, Open dak'];['Automaat'];['669']
['Ferrari'];[109950.0];['2'];['4'];['Bedrijf'];['2011'];['Nee'];['Benzine'];['Cabriolet'];;['93370'];['Zilver of Grijs'];['California'];;['Nee'];['Bekleding leder, Metallic lak, Navigatiesysteem, Open dak'];['Automaat'];
['Ferrari'];[89500.0];['2'];['2'];['Bedrijf'];['1999'];['Nee'];['Benzine'];['Cabriolet'];['JB-693-Z'];['33247'];['Zilver of Grijs'];['F355'];['3496'];['Nee'];['ABS, Bekleding leder, Airconditioning, Lichtmetalen velgen, Metallic lak, Open dak, Sportstoelen'];['Handgeschakeld'];['381']
['Ferrari'];[182900.0];['2'];['4'];['Bedrijf'];['2015'];['Nee'];['Benzine'];['Cabriolet'];['GR-974-N'];['16500'];['Rood'];['California'];['3855'];['Nee'];['Bekleding leder, Airconditioning, Electronic Stability Program (ESP), Lichtmetalen velgen, Navigatiesysteem, Open dak, Climate control'];['Automaat'];['562']
['Ferrari'];[132500.0];['2'];['4'];['Bedrijf'];['2012'];['Nee'];['Benzine'];['Cabriolet'];['93-TLP-6'];['38920'];['Rood'];['California'];['4297'];['Nee'];['ABS, Bekleding leder, Airconditioning, Lichtmetalen velgen, Open dak, Climate control'];['Automaat'];['489']
['Ferrari'];[189000.0];['2'];['4'];['Bedrijf'];['2015'];['Nee'];['Benzine'];['Cabriolet'];['GB-989-J'];['24503'];['Blauw'];['California'];['3855'];['Nee'];['Bekleding leder, Airconditioning, Electronic Stability Program (ESP), Lichtmetalen velgen, Metallic lak, Navigatiesysteem, Open dak, Climate control'];['Automaat'];['562']
